original,nuevo_nombre,nombre_comercial,tipo,tipo_nombre,material,material_nombre,color_codigo,color_nombre,unidad,precio_eur,precio_mostrado,stock,medidas,estado,foto_reemplazada,notas
pendiente_054_002,PEN-001-004-165.webp,,PEN,,001,,004,,165,,Precio pendiente,1,,disponible,,
pendiente_054_003,PEN-001-004-166.webp,,PEN,,001,,004,,166,,Precio pendiente,1,,disponible,,
pendiente_055_001,PEN-001-007-167.webp,,PEN,,001,,007,,167,,Precio pendiente,1,,disponible,,
pendiente_055_002,PEN-001-007-168.webp,,PEN,,001,,007,,168,,Precio pendiente,1,,disponible,,
pendiente_055_003,PEN-001-007-169.webp,,PEN,,001,,007,,169,,Precio pendiente,1,,disponible,,
pendiente_056_001,PEN-002-001-170.webp,,PEN,,002,,001,,170,,Precio pendiente,1,,disponible,,
pendiente_056_002,PEN-002-001-171.webp,,PEN,,002,,001,,171,,Precio pendiente,1,,disponible,,
pendiente_056_003,PEN-002-001-172.webp,,PEN,,002,,001,,172,,Precio pendiente,1,,disponible,,
pendiente_057_001,PEN-002-002-173.webp,,PEN,,002,,002,,173,,Precio pendiente,1,,disponible,,
pendiente_057_002,PEN-002-002-174.webp,,PEN,,002,,002,,174,,Precio pendiente,1,,disponible,,
pendiente_057_003,PEN-002-002-175.webp,,PEN,,002,,002,,175,,Precio pendiente,1,,disponible,,
pendiente_058_001,PEN-002-002-176.webp,,PEN,,002,,002,,176,,Precio pendiente,1,,disponible,,
pendiente_058_002,PEN-002-002-177.webp,,PEN,,002,,002,,177,,Precio pendiente,1,,disponible,,
pendiente_058_003,PEN-002-002-178.webp,,PEN,,002,,002,,178,,Precio pendiente,1,,disponible,,
pendiente_059_001,PEN-001-006-179.webp,,PEN,,001,,006,,179,,Precio pendiente,1,,disponible,,
pendiente_059_002,PEN-001-006-180.webp,,PEN,,001,,006,,180,,Precio pendiente,1,,disponible,,
pendiente_059_003,PEN-001-006-181.webp,,PEN,,001,,006,,181,,Precio pendiente,1,,disponible,,
pendiente_060_001,PEN-002-001-182.webp,,PEN,,002,,001,,182,,Precio pendiente,1,,disponible,,
pendiente_060_002,PEN-002-001-183.webp,,PEN,,002,,001,,183,,Precio pendiente,1,,disponible,,
pendiente_060_003,PEN-002-001-184.webp,,PEN,,002,,001,,184,,Precio pendiente,1,,disponible,,
pendiente_061_001,PEN-002-001-185.webp,,PEN,,002,,001,,185,,Precio pendiente,1,,disponible,,
pendiente_061_002,PEN-002-001-186.webp,,PEN,,002,,001,,186,,Precio pendiente,1,,disponible,,
pendiente_061_003,PEN-002-001-187.webp,,PEN,,002,,001,,187,,Precio pendiente,1,,disponible,,
pendiente_062_001,PEN-002-002-188.webp,,PEN,,002,,002,,188,,Precio pendiente,1,,disponible,,
pendiente_062_002,PEN-002-002-189.webp,,PEN,,002,,002,,189,,Precio pendiente,1,,disponible,,
pendiente_062_003,PEN-002-002-190.webp,,PEN,,002,,002,,190,,Precio pendiente,1,,disponible,,
pendiente_063_001,PEN-002-002-191.webp,,PEN,,002,,002,,191,,Precio pendiente,1,,disponible,,
pendiente_063_002,PEN-002-002-192.webp,,PEN,,002,,002,,192,,Precio pendiente,1,,disponible,,
pendiente_063_003,PEN-002-002-193.webp,,PEN,,002,,002,,193,,Precio pendiente,1,,disponible,,
pendiente_064_001,PEN-002-001-194.webp,,PEN,,002,,001,,194,,Precio pendiente,1,,disponible,,
pendiente_064_002,PEN-002-001-195.webp,,PEN,,002,,001,,195,,Precio pendiente,1,,disponible,,
pendiente_064_003,PEN-002-001-196.webp,,PEN,,002,,001,,196,,Precio pendiente,1,,disponible,,
pendiente_065_001,PEN-002-001-197.webp,,PEN,,002,,001,,197,,Precio pendiente,1,,disponible,,
pendiente_065_002,PEN-002-001-198.webp,,PEN,,002,,001,,198,,Precio pendiente,1,,disponible,,
pendiente_065_003,PEN-002-001-199.webp,,PEN,,002,,001,,199,,Precio pendiente,1,,disponible,,
pendiente_066_001,PEN-002-002-200.webp,,PEN,,002,,002,,200,,Precio pendiente,1,,disponible,,
pendiente_066_002,PEN-002-002-201.webp,,PEN,,002,,002,,201,,Precio pendiente,1,,disponible,,
pendiente_066_003,PEN-002-002-202.webp,,PEN,,002,,002,,202,,Precio pendiente,1,,disponible,,
pendiente_067_001,PEN-002-002-203.webp,,PEN,,002,,002,,203,,Precio pendiente,1,,disponible,,
pendiente_067_002,PEN-002-002-204.webp,,PEN,,002,,002,,204,,Precio pendiente,1,,disponible,,
pendiente_067_003,PEN-002-002-205.webp,,PEN,,002,,002,,205,,Precio pendiente,1,,disponible,,
pendiente_068_001,PEN-002-002-206.webp,,PEN,,002,,002,,206,,Precio pendiente,1,,disponible,,
pendiente_068_002,PEN-002-002-207.webp,,PEN,,002,,002,,207,,Precio pendiente,1,,disponible,,
pendiente_068_003,PEN-002-002-208.webp,,PEN,,002,,002,,208,,Precio pendiente,1,,disponible,,
pendiente_069_001,PEN-002-002-209.webp,,PEN,,002,,002,,209,,Precio pendiente,1,,disponible,,
pendiente_069_002,PEN-002-002-210.webp,,PEN,,002,,002,,210,,Precio pendiente,1,,disponible,,
pendiente_069_003,PEN-002-002-211.webp,,PEN,,002,,002,,211,,Precio pendiente,1,,disponible,,
pendiente_070_001,PEN-002-001-212.webp,,PEN,,002,,001,,212,,Precio pendiente,1,,disponible,,
pendiente_070_002,PEN-002-001-213.webp,,PEN,,002,,001,,213,,Precio pendiente,1,,disponible,,
pendiente_070_003,PEN-002-001-214.webp,,PEN,,002,,001,,214,,Precio pendiente,1,,disponible,,
pendiente_071_001,PEN-002-010-215.webp,,PEN,,002,,010,,215,,Precio pendiente,1,,disponible,,
pendiente_071_002,PEN-002-010-216.webp,,PEN,,002,,010,,216,,Precio pendiente,1,,disponible,,
pendiente_071_003,PEN-002-010-217.webp,,PEN,,002,,010,,217,,Precio pendiente,1,,disponible,,
pendiente_072_001,PEN-001-006-218.webp,,PEN,,001,,006,,218,,Precio pendiente,1,,disponible,,
pendiente_072_002,PEN-001-006-219.webp,,PEN,,001,,006,,219,,Precio pendiente,1,,disponible,,
pendiente_072_003,PEN-001-006-220.webp,,PEN,,001,,006,,220,,Precio pendiente,1,,disponible,,
pendiente_073_001,PEN-001-006-221.webp,,PEN,,001,,006,,221,,Precio pendiente,1,,disponible,,
pendiente_073_002,PEN-001-006-222.webp,,PEN,,001,,006,,222,,Precio pendiente,1,,disponible,,
pendiente_073_003,PEN-001-006-223.webp,,PEN,,001,,006,,223,,Precio pendiente,1,,disponible,,
pendiente_074_001,PEN-001-006-224.webp,,PEN,,001,,006,,224,,Precio pendiente,1,,disponible,,
pendiente_074_002,PEN-001-006-225.webp,,PEN,,001,,006,,225,,Precio pendiente,1,,disponible,,
pendiente_074_003,PEN-001-006-226.webp,,PEN,,001,,006,,226,,Precio pendiente,1,,disponible,,
pendiente_075_001,PEN-002-014-227.webp,,PEN,,002,,014,,227,,Precio pendiente,1,,disponible,,
pendiente_075_002,PEN-002-014-228.webp,,PEN,,002,,014,,228,,Precio pendiente,1,,disponible,,
pendiente_075_003,PEN-002-014-229.webp,,PEN,,002,,014,,229,,Precio pendiente,1,,disponible,,
pendiente_076_001,PEN-001-006-230.webp,,PEN,,001,,006,,230,,Precio pendiente,1,,disponible,,
pendiente_076_002,PEN-001-006-231.webp,,PEN,,001,,006,,231,,Precio pendiente,1,,disponible,,
pendiente_076_003,PEN-001-006-232.webp,,PEN,,001,,006,,232,,Precio pendiente,1,,disponible,,
pendiente_077_001,PEN-001-006-233.webp,,PEN,,001,,006,,233,,Precio pendiente,1,,disponible,,
pendiente_077_002,PEN-001-006-234.webp,,PEN,,001,,006,,234,,Precio pendiente,1,,disponible,,
pendiente_077_003,PEN-001-006-235.webp,,PEN,,001,,006,,235,,Precio pendiente,1,,disponible,,
pendiente_078_001,PEN-001-012-236.webp,,PEN,,001,,012,,236,,Precio pendiente,1,,disponible,,
pendiente_078_002,PEN-001-012-237.webp,,PEN,,001,,012,,237,,Precio pendiente,1,,disponible,,
pendiente_078_003,PEN-001-012-238.webp,,PEN,,001,,012,,238,,Precio pendiente,1,,disponible,,
pendiente_079_001,PEN-001-005-239.webp,,PEN,,001,,005,,239,,Precio pendiente,1,,disponible,,
pendiente_079_002,PEN-001-005-240.webp,,PEN,,001,,005,,240,,Precio pendiente,1,,disponible,,
pendiente_079_003,PEN-001-005-241.webp,,PEN,,001,,005,,241,,Precio pendiente,1,,disponible,,
pendiente_080_001,PEN-001-005-242.webp,,PEN,,001,,005,,242,,Precio pendiente,1,,disponible,,
pendiente_080_002,PEN-001-005-243.webp,,PEN,,001,,005,,243,,Precio pendiente,1,,disponible,,
pendiente_080_003,PEN-001-005-244.webp,,PEN,,001,,005,,244,,Precio pendiente,1,,disponible,,
pendiente_081_001,PEN-001-013-245.webp,,PEN,,001,,013,,245,,Precio pendiente,1,,disponible,,
pendiente_081_002,PEN-001-013-246.webp,,PEN,,001,,013,,246,,Precio pendiente,1,,disponible,,
pendiente_081_003,PEN-001-013-247.webp,,PEN,,001,,013,,247,,Precio pendiente,1,,disponible,,
pendiente_082_001,PEN-001-013-248.webp,,PEN,,001,,013,,248,,Precio pendiente,1,,disponible,,
pendiente_082_002,PEN-001-013-249.webp,,PEN,,001,,013,,249,,Precio pendiente,1,,disponible,,
pendiente_082_003,PEN-001-013-250.webp,,PEN,,001,,013,,250,,Precio pendiente,1,,disponible,,
